date,libelle,montant
2026-06-01,VIREMENT BOURSE CROUS,400.00
2026-06-03,LOYER COLOCATION LILLE,-200.00
2026-06-04,AUCHAN,-45.00
2026-06-05,VIREMENT SALAIRE JOB ETUDIANT,350.00
2026-06-05,ILEVIA ABONNEMENT TRANSPORT,-30.00
2026-06-06,SPOTIFY ABONNEMENT,-10.99
2026-06-07,CARREFOUR CITY,-32.50
2026-06-08,VIREMENT EPARGNE FONDS URGENCE,-30.00
2026-06-09,SNCF TER HAUTS DE FRANCE,-19.00
2026-06-10,REMBOURSEMENT COLOC FACTURE EDF,60.00
2026-06-11,LIDL,-28.00
2026-06-12,CINEMA KINEPOLIS,-9.50
2026-06-13,UBER EATS,-18.90
2026-06-15,VIREMENT BDE COTISATIONS WEI,200.00
2026-06-15,VIREMENT POT WEI 2026,-100.00
2026-06-17,FRANPRIX,-22.00
2026-06-19,BOULANGERIE DU COIN,-8.50
2026-06-21,STEAM JEUX,-4.51
2026-06-23,ILEVIA TICKET UNITE,-6.00
2026-06-28,AUCHAN,-39.55
2026-06-28,AUCHAN,-5.00
2026-06-29,CAFETARIA,-0.55
